State,District/Location,Date of Challenge/Removal,Number of Books Involved
Arizona,Higley Unified School District,August 2024,2
Colorado,Elizabeth School District,August 2024,19
Colorado,Jeffco Public Schools,May 2025,1
Florida,Alachua County Public Schools,October 2024,3
Florida,Bay District Schools,June 2025,5
Florida,Brevard Public Schools,"July-August 2024, March 2025-April 2025",17
Florida,Broward County Public Schools,June 2025,51
Florida,Citrus County School District,April 2025,75
Florida,Clay County School District,July 2024-June 2025,395
Florida,Collier County Public Schools,August 2024,1
Florida,Columbia County School District (FL),June 2025,4
Florida,Duval County Public Schools,October 2024,6
Florida,Escambia County Public Schools,July 2024-June 2025,40
Florida,Flagler Schools,June 2025,6
Florida,Hernando County Schools,"December 2024, April 2025",4
Florida,Hillsborough County Public Schools,July 2024-June 2025,608
Florida,Lee County Schools,June 2025,21
Florida,Leon County Schools,August 2024,2
Florida,Marion County Public Schools,July 2024-June 2025,10
Florida,Martin County Schools,June 2025,1
Florida,Nassau County School District,November 2024-June 2025,37
Florida,Okaloosa County School District,June 2025,3
Florida,Orange County Public Schools,July 2024-June 2025,31
Florida,Pasco County Schools,June 2025,20
Florida,Pinellas County Schools,June 2025,62
Florida,Polk County Public Schools,January 2025-May 2025,9
Florida,Santa Rosa County Schools,July 2024-June 2025,44
Florida,School District of Manatee County,July 2024-August 2024,83
Florida,School District of Osceola County,June 2025,12
Florida,School District of Palm Beach County,"June 2024, July 2025",58
Florida,Seminole County Public Schools,June 2025,1
Florida,St. John's County School District,January 2025-June 2025,9
Florida,Union County School District,June 2025,500
Florida,Volusia County Schools,June 2025,182
Florida,Wakulla County School District,November 2024,1
Florida,Walton County School District,July 2024,3
Georgia,Cobb County School District,August 2024-April 2024,29
Georgia,Columbia County School District (GA),May 2025,6
Georgia,Marietta City Schools,August 2024,8
Idaho,Coeur d'Alene Public Schools,February 2025,150
Indiana,Garrett-Keyser-Butler Community School District,September 2024,1
Indiana,Madison-Grant School Corporation,June 2025,1
Iowa,Ankeny Community School District,July 2024-June 2025,15
Iowa,Council Bluffs Community School District,September 2024,1
Iowa,Dubuque Community School District,August 2024,50
Iowa,Lewis Central Community School District,September 2024,47
Kansas,Gardner Edgerton School District 231,December 2024,1
Maryland,Caroll County School District,"July 2024, June 2025",6
Minnesota,Rochester Public Schools District,January 2025,1
Minnesota,St. Francis Area Schools,March 2025,13
Minnesota,Stillwater Area School District,March 2025,2
Missouri,St. Joseph School District,August 2024-October 2024,2
National,Department of Defense Educational Activitity,January 2025-June 2025,590
New Hampshire,White Mountains Regional School District - SAU 36,July 2024,1
North Carolina,Guilford County Schools,April 2025,1
North Carolina,New Hanover County Schools,April 2025,1
Oregon,Grants Pass School District 7,December 2024,2
Oregon,Siuslaw School District,March 2025,1
Oregon,Tillamook School District 9,August 2024,1
Pennsylvania,Lehighton Area School District,August 2024,33
Pennsylvania,Pennridge School District,August 2024-October 2024,37
Pennsylvania,Radnor Township School District,February 2025,3
South Carolina,Beaufort County School District,March 2025-May 2025,2
South Carolina,Horry County Schools,October 2024,1
South Carolina,Lexington School District 1,August 2024,1
South Carolina,Lexington-Richland School District 5,May 2025,1
Tennessee,Knox County Schools,December 2024 - May 2025,119
Tennessee,Monroe County Schools,February 2025,564
Tennessee,Murfreesboro City Schools,January 2025,1
Tennessee,Oak Ridge Schools,April 2025,335
Tennessee,Roane County Community School District,August 2024-May 2025,49
Tennessee,Rutherford County Schools,September 2024-April 2025,101
Tennessee,Williamson County Schools,December 2024,5
Tennessee,Wilson County Schools,October 2024,448
Texas,Canyon Independent School District,December 2024,1
Texas,Fort Bend Independent School District,October 2024-May 2025,78
Texas,Highland Park Independent School District,July 2024,1
Texas,Katy Independent School District,"August 2024, October 2024-November 2024",513
Texas,Lamar Consolidated Independent School District,August 2024,286
Texas,Nacogdoches Independent School District,March 2025,150
Texas,North East Independent School District,July 2024-June 2025,752
Utah,Davis School District,July 2024-June 2025,26
Virginia,King George County Schools,August 2024,96
Virginia,Lynchburg City Schools,August 2024,1
Wisconsin,Germantown Schools,November 2024,1
Wisconsin,Platteville School District,February 2025,1
Wyoming,Laramie County School District No. 1,July 2024-June 2025,8